00:00:00.000,00:00:03.000,"Empresses in the Palace—the Legend of Zhen Huan
Adapted from the novel by Liu Lian Zi",00:00:00.000,00:00:02.940,"Empresses in the Palace—the Legend of Zhen Huan
Adapted from the novel by Liu Lian Zi"
00:00:03.000,00:00:09.000,"[contact translators] carsenwei@yahoo.com
[subtitles subscription] liberapay.com/ZHZSubbers",00:00:02.940,00:00:09.000,"Translators: The Magpie Bridge Brigade 鹊桥小队翻译组
Support our volunteers: magpiebridgebrigade.cn
Twitter/FB/IG @BrigadeMagpie 公众号/微博: 鹊桥小队翻译组"
00:00:09.000,00:00:11.000,Theme: Unfortunate Love,00:00:09.000,00:00:12.000,Theme: Unfortunate Love
00:00:13.000,00:00:37.000,"Perturbed by the thoughts on my mind
no matter how hard I try to sever my love.",00:00:14.000,00:00:33.000,"I can cut a thousand strands of hair
but I cannot sever the tangled threads of my mind."
00:00:37.000,00:00:47.000,"I could give away my crown for the beauty by my side,",00:00:33.000,00:00:45.000,"Bowing with my hands clasped, I give away my throne.
Lowering my head, devoted to the beauty by my side."
00:00:48.000,00:00:59.000,"but the wheel of fortune turns weals into woes,
and woes into weals.",00:00:45.000,00:00:57.000,"The wheel of fate turns, granting blessings or misfortune.
Will it be destiny’s trial or reward?"
00:00:59.000,00:01:11.000,"No one is the master of their own destiny,
the vicissitudes throughout their life.",00:00:57.000,00:01:07.000,"Heaven’s will cannot be known,
weaving together weals and woes."
00:01:11.000,00:01:22.000,"For the lovers of all time,
who can break the spell of romance?",00:01:07.000,00:01:19.000,"For lovers caught in eternal time,
who can break the spell of romance?"
00:01:22.000,00:01:34.000,"I could give away my crown for the beauty by my side,",00:01:19.000,00:01:30.000,"Bowing with my hands clasped, I give away my throne.
Lowering my head, devoted to the beauty by my side."
00:01:34.000,00:01:41.000,"but the wheel of fortune turns weals into woes,
and woes into weals.",00:01:30.000,00:01:41.000,"The wheel of fate turns, granting blessings or misfortune.
Will it be destiny’s trial or reward?"
00:01:45.000,00:01:56.000,"No one is the master of their own destiny,
the vicissitudes throughout their life.",00:01:41.000,00:01:53.000,"Heaven’s will cannot be known,
weaving together weals and woes."
00:01:56.000,00:02:07.000,"For the lovers of all time,
who can break the spell of romance?",00:01:53.000,00:02:04.000,"For lovers caught in eternal time,
who can break the spell of romance?"
00:02:08.000,00:02:17.000,Who can break the spell of romance?,00:02:05.000,00:02:14.040,Who can break the spell of romance?
00:02:17.000,00:02:22.000,"[contact translators] carsenwei@yahoo.com
[subtitles subscription] liberapay.com/ZHZSubbers",00:02:14.040,00:02:19.000,"Translators: The Magpie Bridge Brigade 鹊桥小队翻译组
Support our volunteers: magpiebridgebrigade.cn
Twitter/FB/IG @BrigadeMagpie 公众号/微博: 鹊桥小队翻译组"
00:02:22.200,00:02:23.830,启禀皇上 皇后,,,
00:02:24.240,00:02:26.870,曹贵人带温宜公主前来请安,00:02:23.300,00:02:28.100,"Your Majesties, Lady Cao brought
Princess Wenyi here to pay respects."
00:02:27.120,00:02:28.630,大热天的带着公主出来,,,
00:02:28.840,00:02:31.070,别中了暑气才好 快请进来吧,00:02:28.120,00:02:31.200,"Bringing the princess here on such a hot day
could cause excessive internal heat."
00:02:31.560,00:02:32.110,嗻,00:02:31.389,00:02:32.829,Show her in quickly.
00:02:45.280,00:02:48.710,皇上万福 皇后万福,00:02:46.388,00:02:49.836,Grace to Your Majesties.
00:02:49.360,00:02:50.580,这个时候日头大,00:02:50.574,00:02:52.020,The sun is ablaze at this hour.
00:02:51.960,00:02:54.520,你怎么还抱着公主走来走去,00:02:53.066,00:02:55.774,Why did you come out with the princess?
00:02:54.800,00:02:56.430,你倒不怕 她受得了吗,,,
00:02:56.800,00:02:57.860,皇上教训得是,00:02:56.000,00:02:57.860,"Even if you are able to endure it, can she?"
00:02:58.520,00:03:01.190,只是晨起公主便啼哭不已,00:02:57.860,00:02:59.520,Your Majesty is right.
00:03:01.600,00:03:03.670,想是许久不见皇后娘娘,00:02:59.746,00:03:02.574,"However, the princess was crying all morning."
00:03:03.920,00:03:05.510,因此想念娘娘了,00:03:02.800,00:03:06.800,"I thought she must be missing Her Majesty.
[The empress is the formal mother of all imperial children.]"
00:03:05.800,00:03:08.870,罢了 朕也好久不见公主了,00:03:06.800,00:03:10.300,"Never mind. I haven't seen Wenyi for some time, either."
00:03:09.320,00:03:10.380,来 给朕抱抱,00:03:10.489,00:03:12.340,"Come here, I will hold her."
00:03:20.400,00:03:23.110,几日不见 怎么公主抱着轻了些,00:03:21.488,00:03:24.560,She feels lighter than she was a few days ago.
00:03:23.600,00:03:25.710,天气炎热 公主吃不下,,,
00:03:26.000,00:03:26.870,难免瘦了点,00:03:24.786,00:03:28.206,"She hasn't been eating a lot lately.
The hot weather weakens her appetite."
00:03:29.000,00:03:30.670,温宜年幼怕热,00:03:30.000,00:03:32.321,Wenyi is still young and vulnerable to the heat.
00:03:31.560,00:03:33.270,嫔妃们只怕也受不住,00:03:32.698,00:03:34.840,I'm afraid the concubines are struggling as well.
00:03:34.040,00:03:34.870,天气太热,00:03:35.104,00:03:36.240,It's been sweltering.
00:03:35.760,00:03:37.830,不如去圆明园避避暑,00:03:36.577,00:03:39.120,"How about we move to the
Summer Palace to escape the heat?"
00:03:38.120,00:03:39.870,圆明园那边一直打点着,,,
00:03:40.120,00:03:41.470,皇上可以随时起驾,00:03:39.226,00:03:42.900,"The Summer Palace is regularly maintained.
Your Majesty can depart at any time."
00:03:42.120,00:03:43.950,朕也想去那儿住段日子,,,
00:03:44.320,00:03:46.110,先前给先帝爷服丧,00:03:43.239,00:03:45.360,I'd like to stay there for a while.
00:03:46.400,00:03:47.430,有两年都没去了,00:03:45.360,00:03:48.780,"It has been the mourning period for the prior emperor,
so I haven't been there for two years."
00:03:48.360,00:03:49.580,说去倒也容易,,,
00:03:50.080,00:03:51.990,只是跟着去的妃嫔不多,00:03:49.377,00:03:51.140,Moving there is not difficult.
00:03:52.280,00:03:54.150,皇上想哪几个跟着去呀,00:03:51.200,00:03:53.560,But the Summer Palace cannot accommodate all the concubines.
00:03:56.120,00:03:57.670,她们两个自不必说,00:03:53.560,00:03:55.540,Which ones should accompany Your Majesty?
00:03:58.200,00:04:01.350,这些皇子公主的生母自然要跟着,00:03:57.195,00:03:59.240,These two without doubt.
00:04:01.720,00:04:02.830,方便起居照顾,00:03:59.280,00:04:04.000,"The mothers of the princes and princesses
will follow to take care of their children."
00:04:03.760,00:04:05.870,再叫上敬嫔也就是了,00:04:05.220,00:04:07.540,And Concubine Estime. That will be all.
00:04:06.800,00:04:08.190,端妃身子最弱,,,
00:04:08.640,00:04:11.020,在宫里养病怕是不相宜,00:04:07.902,00:04:09.764,Consort Honnête has the weakest health.
00:04:11.640,00:04:12.780,她也跟着去吧,00:04:09.764,00:04:13.772,"She should go with us for recuperation
instead of staying in the palace."
00:04:13.120,00:04:13.830,这个自然,,,
00:04:14.440,00:04:15.660,那么华妃,00:04:13.961,00:04:15.323,(sigh) Of course.
00:04:16.760,00:04:18.110,不如留下她照看,00:04:15.474,00:04:16.865,As for Consort Fleur...
00:04:18.520,00:04:20.150,紫禁城余下的嫔妃吧,00:04:17.996,00:04:20.856,"I suggest that she stay to take care of
the remaining concubines in the palace."
00:04:21.920,00:04:22.900,这个步摇,00:04:22.903,00:04:24.284,This hairpin ...
00:04:24.840,00:04:27.270,这个步摇是朕赐给华妃的吧,00:04:25.400,00:04:28.540,I remember this was my gift to Consort Fleur.
00:04:28.000,00:04:28.790,是,,,
00:04:29.320,00:04:31.350,华妃娘娘每次戴着这个步摇,00:04:29.000,00:04:30.251,Yes.
00:04:31.680,00:04:32.510,公主都会笑,00:04:30.440,00:04:33.600,"The princess was always happy to see
Her Highness wearing this hairpin."
00:04:32.920,00:04:36.510,因此华妃便赐予臣妾逗着公主玩,00:04:33.977,00:04:37.749,So Her Highness gave it to me to play with Wenyi.
00:04:39.760,00:04:40.590,华妃也去,00:04:40.620,00:04:42.280,Consort Fleur will go as well.
00:04:41.760,00:04:42.670,是,00:04:42.884,00:04:43.811,Certainly.
00:06:47.800,00:06:50.630,是谁的心思竟想得这样妥贴,00:06:49.000,00:06:52.180,"Whose mind was so considerate
to have arranged all this for me?"
00:06:51.160,00:06:53.590,皇上知道小主素性爱香,,,
00:06:53.920,00:06:55.790,为避暑热又不宜焚香,00:06:52.240,00:06:57.100,"My Lady, His Majesty knows you like having your room scented
but wishes to avoid burning incense in the summer heat."
00:06:56.120,00:06:59.390,因此特意命奴才取新鲜香花,,,
00:06:59.640,00:07:01.710,又放风轮纳凉取香,00:06:57.326,00:07:02.907,"Therefore, at His Majesty's behest, we arranged
flowers and the rotating fan for you, My Lady."
00:07:07.600,00:07:08.950,果然又香又凉快,00:07:08.794,00:07:10.315,What a sweet and cooling breeze!
00:07:09.840,00:07:11.710,别的小主那里全没有,,,
00:07:12.000,00:07:14.070,小主是头一份儿的呢,00:07:10.880,00:07:15.040,"The rotating fan is exclusive to you
among all the concubines, My Lady."
00:07:14.840,00:07:15.950,这法子真是巧,,,
00:07:16.400,00:07:17.790,皇上真真是有心了,00:07:16.000,00:07:19.031,"What an ingenious design!
His Majesty devoted so much thought."
00:07:18.080,00:07:19.270,如今天还不热,,,
00:07:19.560,00:07:20.910,一到了三伏日子,00:07:19.220,00:07:22.300,"When it gets into the San Fu days [the hottest days],"
00:07:21.160,00:07:23.510,在殿里放上冰窖里启出的冰块,00:07:22.340,00:07:24.940,ice will be sent here from the ice house.
00:07:23.840,00:07:26.270,那才叫一个舒服透心呢,00:07:24.940,00:07:27.491,It will waft gentle coolness to delight your heart.
00:07:26.920,00:07:29.150,皇上一早吩咐了咱内务府,,,
00:07:29.520,00:07:32.270,只要小主一觉热马上就用冰,00:07:27.900,00:07:33.620,"His Majesty has already ordered us to send you ice
immediately if you feel hot, My Lady."
00:07:32.560,00:07:34.750,奴才们哪敢不用心呢,00:07:33.620,00:07:36.260,We will be most diligent in accommodating your needs.
00:07:35.800,00:07:36.780,黄公公辛苦了,,,
00:07:37.840,00:07:39.670,还得劳烦您去回皇上的话,00:07:37.000,00:07:38.715,"Thank you for your hard work, Mr Huang."
00:07:39.960,00:07:41.550,说我等一下亲自过去谢恩,00:07:38.941,00:07:42.920,"May I trouble you to inform His Majesty that
I will visit him shortly to thank him in person?"
00:07:42.120,00:07:44.390,小主这话奴才怎么敢担当,00:07:43.226,00:07:45.771,"With the greatest pleasure, My Lady."
00:07:45.000,00:07:46.430,只是皇上等会儿,,,
00:07:46.680,00:07:48.270,怕是要去引见楼练骑射,00:07:46.149,00:07:49.554,"But I'm afraid His Majesty
is going to practice mounted archery soon."
00:07:48.640,00:07:51.310,小主可歇歇再慢慢过去,00:07:49.780,00:07:52.940,Perhaps you want to have some rest and go at a later time.
00:07:52.160,00:07:54.460,这会儿练骑射 是谁陪着,00:07:53.166,00:07:56.100,"Mounted archery at this hour?
Who will His Majesty go with?"
00:07:55.320,00:07:56.990,果郡王和曹贵人,,,
00:07:57.360,00:07:58.110,曹贵人,00:07:56.326,00:07:58.400,Noble Prince Guo and Lady Cao.
00:07:58.280,00:07:58.870,是啊,00:07:58.400,00:07:59.323,Lady Cao?
00:07:59.120,00:08:00.630,温宜公主身体好转,,,
00:08:00.880,00:08:03.180,皇上想见见曹贵人,00:07:59.323,00:08:04.403,"Yes. Princess Wenyi has been feeling better.
His Majesty wished to see them."
00:08:07.600,00:08:09.150,听说皇上喜欢圆明园,,,
00:08:09.440,00:08:10.990,说来我也头一回来呢,00:08:08.842,00:08:12.320,"I always heard that His Majesty is very fond of the Summer Palace.
This is my first time here!"
00:08:11.200,00:08:11.830,对了 小主,,,
00:08:12.120,00:08:13.390,听说这回端妃也来了,00:08:12.320,00:08:14.620,"My Lady, I heard that Consort Honnête came as well."
00:08:13.640,00:08:15.430,咱们还不知道端妃是什么样子呢,00:08:14.680,00:08:16.740,We have never seen Her Highness.
00:08:16.000,00:08:17.190,端妃卧病多年,,,
00:08:17.520,00:08:19.310,日子处久了 总会照面的,00:08:17.155,00:08:21.166,"Consort Honnête has been bed-ridden for years.
We will get to see her sooner or later."
00:08:21.920,00:08:22.750,什么东西,00:08:23.000,00:08:24.085,What is that?
00:08:27.480,00:08:28.390,好箭法,,,
00:08:29.440,00:08:30.750,这是京西的野鸽子,00:08:28.500,00:08:30.040,What exceptional archery!
00:08:31.120,00:08:32.340,以灵巧轻捷著称,00:08:30.342,00:08:33.700,The wild pigeons in west Beijing are known for their swiftness.
00:08:33.080,00:08:34.350,能一箭贯穿四目,,,
00:08:34.920,00:08:36.030,箭法实在精准,00:08:34.115,00:08:37.618,But the archer shot two pigeons through four eyes with one arrow.
00:08:37.600,00:08:38.580,莞贵人吉祥,,,
00:08:39.200,00:08:40.870,是皇上在园子里练骑射吗,00:08:38.500,00:08:40.000,Peace to Lady Sourire.
00:08:41.240,00:08:42.030,果郡王来了,00:08:40.140,00:08:42.260,Is it His Majesty who is practicing archery?
00:08:42.480,00:08:44.150,皇上与王爷顺手打了野物,00:08:42.449,00:08:45.547,"Noble Prince Guo came to visit.
His Lordship is hunting casually with His Majesty."
00:08:45.240,00:08:46.790,今儿倒是真的果郡王来了,00:08:46.374,00:08:48.574,The true Noble Prince Guo.
00:08:48.080,00:08:49.060,我听流朱说,,,
00:08:49.400,00:08:52.310,那日小主与皇上在御花园里初见,,,
00:08:52.720,00:08:54.710,皇上便自称是果郡王来着,00:08:49.202,00:08:55.980,"Vermilion told me that His Majesty pretended
to be Noble Prince Guo when he first met you in the garden."
00:08:55.040,00:08:56.430,今儿倒是逢上真主了,,,
00:08:57.280,00:08:58.470,皇上箭法真准,00:08:56.000,00:08:57.880,Now we have the real person here.
00:08:58.880,00:09:00.150,果郡王箭术精良,00:08:58.415,00:08:59.900,His Majesty has excellent archery skills.
00:09:00.480,00:09:01.590,皇上也赞不绝口呢,00:08:59.900,00:09:02.980,"It was Noble Prince Guo.
His Majesty was also full of praise for His Lordship."
00:09:02.280,00:09:04.660,素闻果郡王擅于琴棋诗画,00:09:03.415,00:09:05.960,"Noble Prince Guo is known
for his achievement in the four arts."
00:09:05.000,00:09:06.470,倒不想箭法也这样好,,,
00:09:06.720,00:09:07.700,姑娘才来不知道,00:09:05.960,00:09:07.946,It's a surprise that he excels at archery too.
00:09:08.080,00:09:09.830,咱们王爷呀 会得多着呢,00:09:07.946,00:09:11.504,"Miss, you'll discover more of His Lordship's
versatility as you stay longer in the palace. use of ""miss"""
00:09:10.800,00:09:13.070,小厦子 你快捧了野鸽子去吧,00:09:11.957,00:09:14.480,"Xiao-Xiazi, you should bring back
the pigeons quickly."
00:09:13.560,00:09:14.990,一并替我向皇上通报,,,
00:09:15.320,00:09:17.190,说我等下就去勤政殿请安,00:09:14.669,00:09:18.540,"And please inform His Majesty that I will pay respects
to him when he returns to the Governance Hall."
00:09:17.680,00:09:18.430,奴才告退,00:09:18.766,00:09:20.277,"I take my leave, My Lady."
00:09:21.360,00:09:23.630,朕记得你的箭术,,,
00:09:23.920,00:09:25.670,是皇阿玛手把手教的,00:09:22.900,00:09:27.160,I remember that Father taught you archery personally.
00:09:27.080,00:09:28.510,皇兄的骑射师傅,,,
00:09:28.800,00:09:29.910,是满洲第一巴图鲁,00:09:28.400,00:09:31.366,"Your Majesty's archery shifu was
the greatest baturu [Machu warrior]."
00:09:30.720,00:09:31.590,臣弟愚钝,,,
00:09:32.320,00:09:33.870,虽是皇阿玛亲手所教,,,
00:09:34.440,00:09:36.190,可并没有学到皇阿玛的真传,00:09:31.753,00:09:37.520,"Even though Father taught me,
my dull mind did not learn the true skills."
00:09:37.200,00:09:38.950,巴图鲁教的是箭术,,,
00:09:39.680,00:09:42.870,皇阿玛给的是舐犊之情,00:09:38.177,00:09:44.160,"What barturu taught was archery skills;
what Father gave was his affection."
00:09:44.160,00:09:47.550,皇阿玛还是偏心你的,00:09:45.480,00:09:48.769,Father was always more nurturing toward you.
00:09:50.240,00:09:51.910,天将降大任于斯人也,,,
00:09:52.160,00:09:53.300,必先苦其心志,00:09:51.400,00:09:55.128,"""Before conferring great responsibilities on a man,
Heaven first suffers his mind to hardship and adversities."""
00:09:54.000,00:09:55.670,恰恰是皇阿玛的这一偏爱,,,
00:09:56.240,00:09:57.990,臣弟倒成了无用之人了,00:09:55.160,00:09:59.564,"It's precisely because of Father's indulgence
that I ended up becoming a useless person."
00:10:07.080,00:10:09.590,你今日也累了 早点回去歇息,00:10:07.900,00:10:11.220,"You've had a long day.
You should go have some rest."
00:10:10.160,00:10:11.300,朕回勤政殿了,00:10:11.220,00:10:13.000,I shall return to the Governance Hall.
00:10:13.120,00:10:14.260,皇上起驾,,,
00:10:15.000,00:10:15.790,恭送皇上,00:10:14.200,00:10:15.860,His Majesty departs.
,,,00:10:16.199,00:10:17.446,I bid Your Majesty goodbye.
00:10:26.680,00:10:28.230,皇上万福金安,,,
00:10:28.520,00:10:29.230,你来了,00:10:27.800,00:10:29.631,Peace and grace to Your Majesty.
00:10:32.320,00:10:35.310,这老十七费尽了工夫,00:10:29.631,00:10:30.787,You've arrived.
00:10:36.320,00:10:38.780,寻了这半斤雪顶含翠,00:10:33.456,00:10:40.156,"Through significant effort, my seventeenth brother managed to acquire this half catty of  ""snow-topped jade""."
00:10:39.560,00:10:40.670,真真是好茶,,,
00:10:41.520,00:10:42.740,你也来品一杯,00:10:40.420,00:10:42.380,It is such fine tea.
00:10:44.160,00:10:45.470,皇上真是好兴致,00:10:42.644,00:10:44.460,You should try some.
00:10:47.040,00:10:48.260,听说雪顶含翠,00:10:45.339,00:10:47.228,You Majesty seems to be in a great mood.
00:10:48.480,00:10:50.750,生长于极北苦寒之地的险峻山峰,00:10:48.520,00:10:53.400,"I heard that the ""snow-topped jade"" can only
be found on dangerous precipices in the cold far north."
00:10:51.160,00:10:52.030,极难采摘,,,
00:10:52.320,00:10:54.230,世间所有不过十余株,00:10:53.560,00:10:55.645,"There are hardly more than a dozen trees
of the kind in the world."
00:10:54.960,00:10:56.550,因常年得雪水滋养,,,
00:10:56.800,00:10:58.710,茶味清新冷冽 极是难得,00:10:56.022,00:11:00.000,"Nourished by the snow,
the tea has a refreshingly crisp taste."
00:10:59.360,00:11:00.500,王爷真是有心了,,,
00:11:01.240,00:11:01.830,小厦子,00:11:00.346,00:11:02.100,His Lordship is very devoted!
